Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Multiple_Ethinic,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9
288,2,28,1, , ,0,1,3,1,18,1,10,15,10,1,3,1,7,1,2,1,2,3,1,3,1,1,1,1,1,3,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6,3,5,4,6,2,2,2,5,5,5,4,2,4,4,8,2,2,2,3,2
122,2,26,3, , ,0,1,2,1,25,1,1,1,3,5,3,4,6,5,6,7,3,7,4,6,7,4,3,4,4,2,3,4,2,3,4,4,3,3,4,3,4,2,3,2,3,4,3,2,3,4,4,3,4,4,3,4,4,3,3,4,4,2,2,3,6,3,6,3,4,5,3,4,6,6,2,3,3,2,8,6,3,5,7,6
129,2,41,1, , ,0,2,4,1,18,1,2,0,0,4,4,3,6,2,3,6,4,6,2,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,2,1
140,2,44,1, , ,0,1,3,1,16,1,3,1,0,1,1,1,6,1,1,1,1,7,1,6,1,1,1,3,1,1,4,4,1,1,1,3,4,3,4,4,1,1,3,1,1,1,3,1,1,4,1,1,1,4,4,4,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,9,1,1,1
145,2,29,3, , ,0,1,2,2, ,1,0,0,0,6,3,5,3,4,5,1,5,2,3,3,4,4,4,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,4,3,3,3,3,4,2,3,2,4,3,3,4,3,2,5,2,6,3,5,4,6,4,6,5,4,5,2,1,1,3,2,8,5,4,3
183,2,58,1, , ,0,1,3,1,18,1, ,0,2,1,5,1,6,1,1,1,5,7,1,7,7,3,1,2,1,3,1,4,1,4,2,4,4,2,4,4,4,1,4,1,1,3,3,1,4,1,1,1,4,3,4,4,1,4,4,4,1,4,1,2,2,2,1,7,3,2,4,1,1,1,1,2,9,9,1,1,1,2,2,2
197,2,41,1, , ,0,2,6,1,17,1,5,1,2,2,2,2,6,2,2,4,3,6,3,6,3,1,1,1,1,1,1,1,1,3,1,3,4,2,2,3,1,1,1,1,2,1,1,1,2,1,1,1,3,3,3,3,1,2,3,1,1,1,1,1,1,1,4,1,1,1,1,4,3,1,1,3,1,6,5,5,5,3,3,3
249,2,66,1, , ,0,1,2,1,21,1,2,2,2,1,7,1,4,1,1,1,7,4,4,7,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,7,7,9,2,2,2
124,2,42,1, , ,0,1,5,1,17,1,8,1,1,1,6,1,4,1,1,4,6,4,1,4,6,2,1,2,1,1,1,1,1,1,1,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,2,3,3,9,9,5,3,3,3
125,2,40,1, , ,0,1,3,1,17,1,2,1,6,1,6,2,5,2,2,2,6,6,2,6,6,2,3,1,3,3,1,1,3,4,3,3,3,3,3,3,1,1,3,1,2,3,3,2,2,1,1,3,3,3,3,3,3,3,3,1,1,3,1,2,2,2,5,5,2,2,2,6,5,5,2,2,1,1,1,1,2,1,1,1
126,2,44,2, , ,0,1,3,1,20,1,2,1,8,2,2,2,7,2,2,1,2,6,1,6,2,3,2,3,1,2,4,3,3,3,3,3,4,3,3,3,4,1,3,1,2,2,2,1,2,3,4,3,3,3,4,3,2,2,3,3,2,3,1,5,2,2,5,2,3,2,2,2,5,1,2,2,2,2,2,1,2,3,2,2
127,2,25,2, , ,0,1,3,2, ,1,1,1,0,5,2,5,6,4,6,5,5,4,6,4,5,3,1,3,2,2,1,4,2,3,3,4,3,3,2,3,2,3,3,4,2,3,2,3,3,4,3,2,2,4,2,3,2,3,2,2,4,3,3,3,2,3,4,2,2,5,3,6,5,4,2,2,2,2,1,1,5,5,3,3
128,2,25,1, , ,0,1,5,1,14,1,5,1,0,4,6,5,5,4,6,3,5,7,1,7,7,3,1,1,1,1,1,3,1,4,4,4,2,2,2,3,3,3,3,3,1,2,2,1,1,1,4,1,3,4,4,4,2,3,4,4,1,1,1,3,4,2,3,3,2,3,3,2,3,2,5,2,4,4,9,9,9,3,3,1
131,2,29,3,8, ,1,2,1,1,20,1,11,1,0,1,1,1,7,1,2,4,1,7,2,7,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,3,1,1,4,4,4,2,4,2,9,5,8,9,5,3
133,2,33,1, , ,0,1,8,1,16,1,7,1,3,3,5,2,5,3,3,2,5,4,2,4,5,2,1,2,1,3,1,2,2,3,1,3,3,3,3,2,4,2,2,1,2,1,2,1,2,1,4,1,3,3,3,3,3,1,3,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,1
134,2,39,8, , ,0,1,5,1,18,1,5,1,6,2,5,2,7,2,5,3,5,6,2,4,5,2,1,1,1,3,2,2,1,2,2,3,4,3,2,4,1,1,2,1,1,2,2,1,1,2,1,1,4,3,4,4,1,1,3,1,1,2,1,2,3,2,5,2,3,1,1,4,5,1,1,2,3,3,6,4,4,2,2,3
135,2,43,1, , ,0,1,4,1,15,1,4,1,8,3,1,1,6,2,1,4,1,6,3,6,1,3,1,2,2,4,1,4,3,4,4,4,4,4,2,1,3,4,3,1,4,2,1,1,4,1,1,2,3,4,4,4,4,1,2,4,3,3,1,2,2,2,4,2,2,2,2,3,4,3,2,2,4,1,1,1,1,6,5,1
136,2,28,1, , ,0,1,1,1,16,1,1,1,3,1,5,1,4,1,1,1,4,5,1,6,4,3,1,1,1,2,1,1,2,4,1,3,4,1,4,4,4,1,3,1,3,1,1,1,1,1,1,3,2,4,3,4,1,4,4,3,4,3,1,1,1,5,5,1,1,5,1,1,5,1,1,2,1,1,5,1,1,2,1,1
137,2,39,1, , ,0,1,11,1,14,1,5,1,8,2,5,3,6,5,6,2,5,3,5,3,5,3,3,2,3,4,3,3,2,3,3,2,3,3,1,3,3,2,4,1,3,3,2,2,3,3,1,2,3,3,3,3,3,1,3,1,1,1,1,4,4,3,5,2,2,2,1,4,5,2,1,2,2,5,2,5,7,6,4,6
138,2,27,1, , ,0,1,10,1,17,1,10,1,10,2,5,1,7,1,1,1,7,7,1,7,5,2,1,1,1,1,1,2,2,2,3,2,4,3,1,1,1,1,2,1,2,1,1,1,1,2,1,2,3,4,2,2,2,1,1,1,1,2,1,5,1,5,3,3,2,4,1,2,4,4,3,2,4,2,7,2,4,1,1,1
139,2,50,1, , ,0,1,2,1,19,1,2,1,4,1,1,1,3,1,1,1,1,7,1,7,7,1,1,1,1,1,1,1,1,4,1,3,4,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,3,4,3,2,4,2,1,1,2,1,1,1,6,5,7,7,4,2,6,7,7,1,2,1,1,1,1,1,1,1,1
