ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
309,2,49,1,5,1,14,1,15,1,8,4,2,2,2,2,2,2,3,3,2,2,4,4,2,4,5,6,7,2,2,2,2,2,2,2,2,4,2,5,4,7,1,1,2,2,1,5,4,2,4,5,5,7,7,5,2,7,7,4,7,7,7,6,6,6,7,7,7,4,1
310,1,28,1,12,1,16,2,8,1,21,3,2,2,2,3,3,3,4,5,5,3,6,2,2,2,5,4,5,4,3,3,3,4,3,3,4,3,2,2,3,7,7,7,7,5,6,5,4,4,4,5,5,5,5,5,6,6,5,4,6,3,5,5,5,5,5,6,5,5,5
311,1,26,1,1,1,25,2,1,1,1,4,2,2,2,4,1,2,2,3,4,4,4,3,2,3,4,5,5,3,2,2,2,2,3,5,6,4,2,2,1,7,7,7,7,7,7,5,1,4,5,5,6,6,6,6,5,4,4,4,5,6,7,5,4,4,6,6,6,4,3
312,2,31,1,3,1,17,1,3,1,4,5,2,2,3,5,2,5,3,4,4,4,3,1,1,4,6,6,6,2,2,3,3,5,4,2,2,2,2,2,2,7,3,6,4,2,1,5,3,3,4,5,5,5,6,6,7,7,7,7,7,7,6,6,6,7,6,6,6,5,2
313,1,34,1,6,1,16,2,6,1,15,4,2,3,4,3,3,4,3,4,5,3,3,2,2,5,6,5,6,4,4,3,3,3,2,2,4,3,2,3,2,7,7,8,2,2,2,5,4,4,5,5,6,3,6,5,3,6,6,7,7,5,2,5,5,5,4,3,6,3,2
314,2,29,1,8,1,19,1,1,1,5,4,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,5,2,2,2,3,3,3,3,2,3,3,2,2,1,7,6,7,7,2,2,5,3,3,3,5,6,5,6,7,6,7,6,7,7,7,7,7,7,7,6,6,6,5,4
315,1,34,1,4,1,18,2,2,1,25,4,4,7,4,3,5,4,2,6,4,3,4,6,3,5,3,2,6,6,5,6,2,4,5,5,2,3,2,1,1,7,2,3,4,3,3,5,5,5,6,5,7,6,6,3,5,4,5,7,3,5,2,2,4,6,5,7,5,2,5
316,1,36,1,2,1,24,2,1,1,4,4,4,5,2,1,4,1,2,3,1,1,2,7,7,7,1,1,1,5,5,3,4,2,2,7,2,7,2,1,1,7,8,8,7,6,7,5,4,5,5,5,6,5,6,7,6,6,5,7,7,7,2,6,5,5,6,6,6,3,2
317,1,43,1,12,1,19,2,10,1,2,4,5,4,6,5,6,4,5,6,6,6,4,6,6,4,2,4,4,5,6,6,5,4,3,2,3,3,2,3,5,7,5,6,7,7,5,5,5,4,6,5,6,4,4,4,6,4,3,5,5,3,3,6,4,3,5,5,2,5,5
318,1,33,1,4,1,18,2,25,1,15,4,2,2,2,2,2,4,3,1,2,2,3,2,2,2,5,5,4,2,2,2,3,2,2,2,3,3,2,6,6,8,5,9,3,3,2,5,4,3,5,5,6,5,6,5,4,7,7,4,7,6,3,7,7,7,7,7,7,5,1
