Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
36,0,23,0,0,0,7,4,2,2,1,4,1,1,1,1,4,3,5,1,2.16666666666667
236,0,23,0,0,0,4,2,1,2,1,3,1,1,1,1,4,5,2,1,1.91666666666667
147,0,22,0,1,0,3,1,1,1,1,1,1,1,1,1,3,7,5,1,2
148,0,22,0,1,0,23,15,4,3,5,5,2,1,2,6,5,4,3,4,3.66666666666667
168,0,22,0,1,0,3,0,1,3,2,5,2,1,1,1,6,4,4,4,2.83333333333333
258,0,22,0,0,0,4,2,3,4,5,5,2,2,2,2,6,5,4,3,3.58333333333333
149,0,21,0,1,0,7,5,1,1,1,3,1,1,1,1,2,2,1,2,1.41666666666667
259,0,21,0,1,0,4,1,2,2,2,3,1,1,1,1,3,2,2,1,1.75
33,0,20,0,1,0,1,0,1,1,1,4,1,2,1,1,4,3,3,1,1.91666666666667
59,0,20,0,0,2,0,0,3,2,2,2,1,2,1,1,1,1,1,1,1.5
132,0,20,0,1,0,1,0,5,5,4,5,3,4,5,7,6,5,5,4,4.83333333333333
152,0,20,0,1,0,7,6,1,1,1,2,1,1,1,1,3,1,1,1,1.25
158,0,20,0,0,1,3,1,2,1,1,2,1,1,1,1,4,6,6,2,2.33333333333333
201,0,20,0,0,0,1, ,5,1, ,7,1,1,1,1,4,4,4,4, 
178,0,19, ,1,0,11,9,3,1,1,7,1,1,1,1,1,1,1,1,1.66666666666667
229,0,19,0,0,0, , ,3,3,1,6,4,3,4,4,6,5,5,4,4
105,0,18,0,1,0,13,7,1,1,1,4,1,1,1,1,3,3,1,1,1.58333333333333
209,0,18,0,0,0,0, ,1,2,1,3,1,1,1,1,3,2,1,1,1.5
211,0,18,0,0,0,6,4,2,3,3,6,3,3,3,3,5,4,4,5,3.66666666666667
