ID,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
217,1,1,2,4,5,1,1,1,1,5,5,6,2
218,1,2,2,2,4,2,2,2,2,4,2,2,2
219,1,5,5,5,4,1,1,1,1,4,4,4,3
220,1,5,6,5,6,2,2,2,1,5,5,5,4
221,1,3,5,7,7,6,1,4,1,7,7,7,3
222,1,2,1,2,2,1,1,2,2,2,2,2,2
223,1,4,5,5,6,6,4,3,5,6,6,7,4
224,1,7,4,7,7,3,6,6,6,7,7,7,7
225,1,2,2,2,4,1,1,2,1,6,3,1,1
226,1,4,2,5,5,2,2,2,2,3,5,4,2
227,1,2,2,2,5,2,2,1,1,3,4,4,2
228,1,3,3,4,3,1,1,2,1,3,5,5,2
229,1,4,4,6,6,1,1,3,1,6,5,4,4
230,1,2,2,3,3,4,2,2,2,5,3,2,2
231,1,1,1,1,1,1,1,1,1,4,1,1,1
232,1,1,2,5,5,1,1,2,1,6,6,6,4
233,1,2,2,3,4,1,1,2,1,2,2,2,2
234,1,4,4,3,4, ,1,1,2,4,2,3,1
235,1,3,3,2,5,4,5,3,5,5,5,5,3
236,1,6,6,3,7,1,3,2,2,6,7,6,2
237,1,2,2,4,3,1,1,1,1,1,3,2,2
238,1,5,4,3,5,2,3,3,2,2,3,2,2
239,1,2,2,4,5,1,1,3,1,5,6,5,2
240,1,4,5,5,5,2,2,4,2,4,4,5,3
241,1,6,2,1,2,1,1,1,1,1,1,1,1
242,1,2,3,4,4,1,1,1,1,6,6,3,3
243,1,4,5,3,3,2,1,1,1,3,4,2,4
244,1,1,2,1,2,1,1,1,1,1,1,1,1
245,1,3,2,4,4,1,1,1,1,6,6,4,3
246,1,4,4,5,5,2,1,1,1,3,4,2,1
247,1,4,5,5,5,3,2,2,2,5,5,4,5
248,1,1,1,1,1,1,1,1,1,1,1,1,1
249,1,2,2,6,6,2,4,3,3,7,7,5,4
250,1,1,1,1,1,1,1,1,1,1,1,1,1
251,1,2,2,5,3,2,1,3,1,4,5,4,3
252,1,3,4,4,4,3,3,4,2,4,5,4,3
253,1,2,2,2,3,1,1,1,1,5,3,2,1
254,1,1,1,1,1,1,1,1,1,2,2,1,2
255,1,2,2,2,2,1,1,1,1,2,2,2,1
256,1,1,2,1,3,1,5,1,1,1,3,1,1
257,1,4,5,5,5,1,1,4,1,5,6,5,5
258,1,1,2,5,1,1,1,1,1,1,1,1,1
259,1,1,1,1,2,1,1,1,1,6,6,5,1
260,1,6,6,3,5,3,2,2,2,5,5,2,2
261,1,2,6,7,3,1,1,1,1,5,4,5,1
262,1,2,3,1,2,1,1,1,1,5,4,5,2
263,1,3,1,3,2,1,2,2,1,3,2,2,1
264,1,2,1,1,1,1,1,1,1,7,5,5,1
265,1,1,2,1,2,1,1,1,1,3,3,1,2
266,1,1,1,1,2,7,1,1,1,1,1,1,1
267,1,6,5,5,5,4,2,2,3,5,5,2,3
268,1,2,2,2,3,1,1,1,1,2,2,1,1
269,1,4,5,3,4,2,2,2,2,6,4,3,3
270,1,1,2,2,4,1,1,1,1,2,2,1,1
271,1,4,6,6,6,5,3,5,3,4,7,6,6
272,1,2,2,3,3,1,1,2,1,3,3,2,2
273,1,1,1,1,1,1,1,3,2,1,2,1,1
274,1,2,2,4,4,1,1,2,1,2,4,1,1
275,1,5,5,4,5,1,1,2,1,3,4,4,5
276,1,5,6,5,5,4,3,4,2,5,5,4,4
277,1,2,2,2,2,2,1,2,1,2,2,2,2
278,1,2,1,3,4,1,1,1,1,4,4,2,2
279,1,2,5,5,5,1,1,5,1,6,6,6,2
280,1,2,2,3,3,1,1,2,1,2,2,2,1
281,1,5,4,3,5,2,2,2,2,4,3,2,2
282,1,1,1,2,2,1,1,1,1,2,3,3,1
283,1,4,4,3,6,1,1,1,1,1,1,1,1
284,1,1,2,2,5,1,1,1,1,2,5,3,2
285,1,5,6,6,7,1,1,1,1,7,7,3,4
286,1,1,3,2,6,1,1,1,1,4,4,1,1
287,1,1,1,2,2,1,1,2,1,2,2,1,1
288,1,5,5,6,5,5,1,1,1,6,7,7,2
289,1,3,1,3,1,3,1,1,3,4,6,3,1
290,1,2,2,2,4,1,1,1,1,2,2,1,1
291,1,3,3,2,4,1,1,1,1,3,3,2,2
292,1,2,2,3,1,2,1,1,5,3,3,4,4
293,1,3,3,3,5,3,2,3,3,4,6,6,3
294,1,2,3,6,4,1,1,2,1,1,1,1,2
295,1,2,2,3,3,1,1,1,1,1,2,1,1
296,1,1,1,1,1,1,1,1,1,1,1,1,1
297,1,3,3,5,5,1,1,4,2,2,5,1,2
298,1,2,3,2,4,1,1,1,1,3,2,1,1
299,1,4,3,1,2,3,2,2,2,5,5,6,3
300,1,2,4,3,5,2,2,3,2,6,5,3,2
301,1,2,3,1,4,1,1,1,1,2,6,7,1
302,1,1,2,2,2,1,2,1,1,3,5,1,1
303,1,3,3,3,4,1,1,3,1,2,4,2,2
304,1,4,2,1,2,2,1,1,1,5,2,2,1
305,1,2,3,3,3,4,3,2,3,4,3,2,2
306,1,2,3,5,5,2,1,4,1,6,6,3,4
307,1,2,2,2,3,2,2,2,2,4,4,4,2
308,1,4,6,6,6,4,3,4,3,6,6,6,6
309,1,2,2,1,5,2,2,2,2,5,4,3,2
310,1,1,3,3,4,3,1,1,1,4,2,4,1
311,1,3,2,4,2,2,2,3,2,4,3,3,3
312,1,5,6,1,7,1,1,1,1,7,7,7,1
313,1,2,2,1,4,4,1,1,1,4,4,3,4
314,1,3,2,5,6,2,2,3,2,4,5,5,2
