Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
2,26,2,5,4,6,2,1,2,2,5,5,1,2
1,26,4,6,5,7,4,3,5,7,3,6,5,6
1,26,3,5,3,6,3,3,5,2,4,7,7,5
1,26,2,5,3,5,5,6,3,5,5,3,4,2
2,25,1,1,1,1,1,1,1,1,1,1,1,1
2,25,2,2,3,3,1,1,2,1,3,2,1,1
1,25,1,1,1,5,1,1,1,1,1,4,4,1
1,25,3,3,2,5,4,3,3,2,4,2,4,3
1,25,1,1,1,1,1,1,1,1,7,7,4,1
1,25,4,4,4,5,4,4,5,4,5,5,4,2
1,25,5,3,2,5,3,2,2,4,6,5,2,2
1,25,4,4,4,4,4,4,4,4,4,4,4,4
2,24,5,4,3,3,4,4,5,4,3,4,4,5
2,24,1,1,1,1,1,1,1,1,7,7,7,1
2,23,7,6,5,6,4,3,6,5,4,3,3,2
2,23,6,5,5,4,3,3,5,4,5,4,3,3
2,23,6,5,5,4,3,6,6,5,5,4,4,3
2,23,2,1,2,2,1,1,2,1,1,2,1,1
2,23,1,1,1,1,1,6,1,1,1,1,1,1
2,23,2,2,2,5,2,2,2,2,5,6,2,2
2,23,3,5,2,3,4,3,4,3,4,4,4,4
2,23,6,1,1,1,1,1,1,1,1,1,1,1
1,23,6,5,4,3,5,3,4,5,3,6,5,4
1,23,5,3,3,4,5,4,4,5,3,3,4,5
1,23,1,1,2,5,1,2,2,1,6,4,2,1
1,22,2,5,1,6,6,4,1,2,6,1,1,1
1,22,3,3,3,5,2,2,2,2,5,5,3,5
2,21,1,1,1,1,1,1,1,1,1,1,1,1
2,21,2,2,3,3,1,1,2,2,3,3,2,2
1,21,2,5,2,3,4,2,3,5,4,2,4,2
1,21,2,5,7,7,6,6,7,3,6,7,7,6
2,20,2,6,4,4,6,5,4,5,4,4,4,3
1,20,6,3,5,6,1,1,6,1,6,6,6,6
2,19,1,1,1,1,1,1,1,1,1,1,1,1
1,19,5,3,4,6,5,4,6,4,3,5,6,5
1,19,1,1,1,2,1,1,1,1,6,6,1,1
