Participant,Sex,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
209,0,1,2,1,3,1,1,1,1,3,2,1,1
210,1,1,1,4,2,1,1,1,1,2,3,1,6
211,0,2,3,3,6,3,3,3,3,5,4,4,5
212,1,1,1,2,1,1,1,1,1,1,1,1,1
213,1,2,1,1,1,1,1,1,1,1,3,1,3
214,1,5,5,4,4,2,3,3,3,5,6,4,4
215,1,2,2,2,3,1,1,1,1,5,3,2,2
216,0,1,1,1,3,1,1,2,1,5,3,2,1
217,1,1,3,1,4,1,1,1,1,5,6,6,2
218,0,3,3,3,6,1,3,3,2,6,4,5,5
219,0,1,1,1,2,4,2,2,1,7,3,2,2
220,1,1,2,1,1,1,1,1,1,4,2,2,2
221,1,4,4,5,3,3,3,3,1,4,5,4,4
222,1,2,2,1,3,1,1,1,1,3,2,2,2
223,1,3,4,3,4,1,1,1,1,3,3,1,1
225,0,1,1,1,2,1,1,1,1,3,2,2,4
226,0,3,3,2,7,4,4,5,4,5,5,5,5
227,0,1,1,1,5,1,1,1,1,6,7,5,1
228,0,2,3,1,4,1,1,1,1,2,4,1,2
229,0,3,3,1,6,4,3,4,4,6,5,5,4
230,0,1,1,1,3,1,1,1,1,1,2,2,1
231,0,2,2,1,3,1,2,2,1,4,4,2,1
232,0,1,1,1,1,1,4,1,1,2,2,1,1
233,0,1,1,2,4,1,1,1,1,2,1,1,2
234,0,2,1,2,5,1,1,3,1,1,1,1,1
235,0,4,2,1,1,3,2,4,1,5,2,7,1
236,0,1,2,1,3,1,1,1,1,4,5,2,1
237,1,7,5,7,4,6,7,5,6,3,7,7,4
238,1,4,6,7,2,3,1,5,1,6,6,6,2
239,0,3,4,4,5,4,3,3,2,5,6,6,3
240,1,1,2,5,4,4,3,1,1,7,6,6,5
241,1,3,2,2,3,2,2,2,2,2,3,2,2
242,1,7,6,7,5,7,4,5,6,5,5,5,6
243,0,1,1,1,1,1,1,1,1,1,1,1,1
244,0,3,5,3,5,3,2,2,2,5,5,4,3
245,1,5,4,5,5,3,2,5,2,5,5,3,5
247,0,3,3,2,6,1,1,2,1,5,6,5,2
