ID,Age,IC,SOIR_GLOBAL,BPAQSF_A,BPAQSF_H,RES_1
089,18,1.83333333333333,3.33333333333333,2.5,2.33333333333333,49.1739521173882
090,18,1.91666666666667,5.66666666666667,2.5,2.33333333333333,168.958000379279
091,20,1.25,3.88888888888889,2.5,2.66666666666667,-4.14435207263128
092,18,2.25,4,1,3,9.86390747522436
093,19,3.41666666666667,7.55555555555556,2,6.33333333333333,-22.5641891806078
094,19,3.33333333333333,5.11111111111111,5.5,4.66666666666667,-222.111828580607
095,32,1.58333333333333,4.44444444444444,1,2.33333333333333,-112.116537085502
097,37,1.16666666666667,4.66666666666667,1.5,3.33333333333333,-.243827066374735
098,18,3.08333333333333,5.77777777777778,5,4.66666666666667,-22.795053456938
099,18,2.83333333333333,8.22222222222222,2,3,-144.415040780101
100,20,1.83333333333333,2.44444444444444,2,3.66666666666667,-8.45812843228915
101,20,1,3.22222222222222,2,2.66666666666667,-12.1609896762198
102,18,1.83333333333333,3.88888888888889,1.5,1.66666666666667,-60.2118541639709
103,19,3.33333333333333,3.77777777777778,2.5,4,-70.5117295555637
104,19,5.33333333333333,7.11111111111111,4,6,7.58174744537432
105,22,3,3.44444444444444,1.5,2.66666666666667,-74.6879703012759
106,19,1.08333333333333,5.66666666666667,3,4,-50.716901150592
107,19,3.83333333333333,4.77777777777778,1,2,-7.33859699240987
109,21,1.75,5.44444444444444,1,2,-125.505950808425
110,21,1.75,3.55555555555556,5,4,195.101008100571
111,18,3.25,4.11111111111111,2.5,4.33333333333333,-9.99947677399942
112,19,5.5,6.77777777777778,5,5.66666666666667,-84.1904875459599
113,21,2.33333333333333,4.55555555555556,1,2.66666666666667,-148.761937308447
114,21,2.83333333333333,5.77777777777778,2,1.66666666666667,103.990800215637
115,20,2.58333333333333,3,1,3.66666666666667,-20.0788127613324
117,37,1.63636363636364,2.88888888888889,2,3,-54.0292618826428
118,20,2.08333333333333,8.11111111111111,5.5,6.33333333333333,123.442286572411
119,20,1.16666666666667,4.77777777777778,3,4.33333333333333,66.1427091983812
120,20,2.66666666666667,6.66666666666667,1.5,3.33333333333333,110.737155441546
