Participant_ID,Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
137,2,39,4,4,3,5,2,2,2,1,4,5,2,1
138,2,27,5,1,5,3,3,2,4,1,2,4,4,3
139,2,50,1,1,6,5,7,7,4,2,6,7,7,1
141,2,27,7,7,6,6,7,6,7,6,5,6,6,7
142,2,52,2,2,5,1,4,3,5,3,4,4,3,4
143,2,27,4,4,4,4,4,4,4,4,4,4,4,4
144,2,32,1,1,1,1,1,1,1,1,1,1,1,1
146,2,57,1,1,1,4,1,1,1,1,4,4,1,1
147,2,42,1,1,1,1,1,1,1,1,1,1,1,1
148,2,63,1,1,1,1,1,1,1,1,1,1,1,1
149,2,38,2,2,4,2,1,2,4,1,5,3,2,1
150,2,33,2,2,4,5,4,5,5,7,3,5,5,2
151,2,33,1,1,1,4,1,1,1,1,4,4,4,1
152,2,36,2,2,2,2,2,2,2,2,3,3,3,2
153,2,36,2,2,3,2,2,3,3,2,2,2,2,2
154,2,29,1,3,1,7,7,7,1,2,3,3,1,1
155,2,33,3,5,3,7,6,6,3,3,7,7,7,6
156,2,44,2,2,3,6,6,2,2,1,3,4,4,2
157,2,42,1,1,2,1,1,1,1,1,1,2,2,1
158,2,59,1,1,1,1,1,1,1,1,1,1,1,1
159,2,35,2,2,4,2,2,2,3,2,2,2,2,2
160,2,65,1,1,1,1,1,1,1,1,2,1,1,1
162,2,40,6,4,7,6,5,5,7,5,7,7,7,7
163,2,31,1,1,3,2,1,1,2,1,4,5,2,1
164,2,55,7,7,7,2,7,7,7,7,7,7,7,7
165,2,56,1,1,1,1,1,1,2,2,3,3,1,1
166,2,62,4,6,2,6,6,4,2,2,2,6,4,5
167,2,29,2,1,1,5,2,5,1,1,4,5,5,2
168,2,32,1,1,1,1,1,1,1,1,4,1,1,1
169,2,26,7,7,7,7,7,7,7,7,7,7,7,7
170,2,53,3,4,2,4,4,4,2,2,4,5,2,5
171,2,39,5,4,6,5,6,4,5,3,6,7,7,5
172,2,27,5,3,5,4,3,4,5,2,5,5,1,5
173,2,59,3,5,4,5,4,3,2,2,4,4,4,4
174,2,21, , , , , , , , , , , , 
175,2,49,3,4,2,6,2,1,1,1,4,5,3,5
176,2,27,2,2,2,3,5,1,2,2,2,3,3,2
177,2,66,1,1,1,2,1,1,1,1,2,2,2,1
178,2,41,3,4,4,3,2,2,2,2,3,6,4,2
179,2,33,1,1,3,6,1,3,1,1,6,2,1,5
180,2,55,1,1,1,1,1,1,1,1,1,1,1,1
184,2,30,1,1,1,3,1,1,1,1,3,3,1,1
185,2,31,4,5,4,6,5,4,3,4,5,6,3,3
186,2,60,2,2,2,3,2,2,5,2,2,2,2,2
187,2,32,5,5,5,5,4,5,5,5,5,4,5,4
188,2,70,2,2,4,2,2,3,2,2,3,2,2,3
189,2,29,3,4,5,5,2,3,5,2,5,5,4,5
190,2,46,1,1,1,4,1,1,1,6,6,6,6,1
191,2,37,1,1,1,3,1,1,1,1,3,3,2,1
192,2,41,4,5,4,4,4,3,5,3,3,4,4,4
193,2,46,1,4,6,2,2,3,2,3,2,3,2,1
194,2,56,2,2,2,2,2,2,2,2,4,4,2,3
195,2,25,5,6,5,6,2,1,2,1,4,5,1,3
196,2,49,2,2,2,3,2,4,3,3,4,4,3,2
198,2,34,3,4,2,4,3,1,2,1,6,5,3,4
199,2,60,3,5,2,6,6,5,5,3,6,6,3,2
201,2,35,2,2,2,2,2,2,2,2,2,2,2,2
202,2,50,1,1,1,1,1,1,1,1,1,1,1,1
203,2,48,1,5,1,5,5,6,6,6,1,6,2,1
204,2,42,1,1,1,1,1,1,1,1,1,1,1,1
205,2,48,3,4,3,4,1,1,1,1,3,4,3,5
206,2,48,2,2,2,2,2,5,1,1,2,2,1,1
207,2,41,4,3,6,6,1,1,5,1,1,4,5,1
208,2,60,1,1,1,4,1,1,1,1,4,4,2,1
209,2,31,1,1,1,2,1,1,1,1,2,1,1,1
210,2,38,5,1,1,1,1,1,1,1,1,1,1,5
211,2,32,3,3,4,4,3,3,4,3,4,4,4,3
212,2,48,1,2,1,2,1,1,1,1,1,1,1,1
213,2,45,2,4,5,4,2,1,1,1,6,1,1,1
214,2,39,5,5,6,7,6,5,6,6,6,6,2,5
216,2,32,4,1,2,1,1,1,1,1,1,1,1,6
218,2,19,1,1,1,1,1,4,1,1,1,1,1,1
219,2,56,2,2,2,3,2,2,2,2,2,2,2,2
220,2,52,1,7,1,4,4,1,1,1,4,4,1,1
221,2,39,2,1,3,4,2,1,2,1,3,4,1,2
222,2,26,6,5,5,7,4,3,3,4,5,6,5,6
223,2,26,6,5,4,5,4,6,4,3,3,5,5,5
225,2,45,1,2,2,2,2,2,2,2,2,2,2,2
226,2,32,1,2,3,2,1,1,3,1,6,3,1,1
227,2,47,2,3,3,3,4,2,4,3,6,5,1,4
228,2,33,1,1,2,2,2,2,2,1,2,2,3,1
229,2,30,1,1,2,1,1,1,1,1,1,1,1,1
230,2,34,4,3,3,3,5,3,2,2,3,3,3,3
231,2,57,1,4,4,5,2,4,4,2,4,4,3,3
